# capture_start_utc=2026-08-29T17:35:57Z
158449797 297 101658 2
S 163023511 297 101662 2
S 163034510 297 101660 2
S 163045510 297 101661 2
S 163061509 297 101658 2
S 163072508 297 101658 2
S 163083507 297 101655 2
S 163094507 297 101654 2
S 163105506 297 101656 2
S 163116505 297 101652 2
S 163127504 297 101655 2
S 163138504 297 101650 2
S 163149503 297 101653 2
S 163160502 297 101651 2
S 163171502 297 101650 2
S 163182501 297 101648 2
S 163193500 297 101652 2
S 163204500 297 101649 2
S 163215499 297 101648 2
S 163226498 297 101649 2
S 163237498 297 101653 2
S 163248497 297 101655 2
S 163259496 297 101650 2
S 163270496 297 101654 2
S 163281495 297 101657 2
S 163292494 297 101657 2
S 163303493 297 101655 2
S 163314493 297 101656 2
S 163325492 297 101655 2
S 163336491 297 101653 2
S 163347491 297 101650 2
S 163358490 297 101651 2
S 163369489 297 101653 2
S 163380489 297 101653 2
S 163391488 297 101654 2
S 163402487 297 101658 2
S 163413487 297 101657 2
S 163424486 297 101652 2
S 163435485 297 101650 2
S 163446485 297 101650 2
S 163457484 297 101652 2
S 163468483 297 101653 2
S 163479482 297 101651 2
S 163490482 297 101647 2
S 163501481 297 101647 2
S 163512480 297 101650 2
S 163523480 297 101654 2
S 163534479 297 101651 2
S 163545478 297 101651 2
S 163556478 297 101653 2
S 163567477 297 101650 2
S 163578476 297 101652 2
S 163589476 297 101653 2
S 163600475 297 101656 2
S 163611474 297 101654 2
S 163622474 297 101652 2
S 163633473 297 101654 2
S 163644472 297 101649 2
S 163655471 297 101653 2
S 163666471 297 101650 2
S 163677470 297 101653 2
S 163688469 297 101653 2
S 163699469 297 101656 2
S 163710468 297 101653 2
S 163721467 297 101653 2
S 163732467 297 101652 2
S 163743466 297 101658 2
S 163754465 297 101650 2
S 163765465 297 101654 2
S 163776464 297 101655 2
S 163787463 297 101657 2
S 163798463 297 101651 2
S 163809462 297 101654 2
S 163820461 297 101655 2
S 163831460 297 101659 2
S 163842460 297 101653 2
S 163853459 297 101656 2
S 163864458 297 101652 2
S 163875458 297 101655 2
S 163886457 297 101653 2
S 163897456 297 101650 2
S 163908456 297 101652 2
S 163919455 297 101651 2
S 163930454 297 101659 2
S 163941454 297 101653 2
S 163952453 297 101654 2
S 163963452 297 101653 2
S 163974452 297 101657 2
S 163985451 297 101656 2
S 163996450 297 101657 2
S 164007449 297 101656 2
S 164018449 297 101656 2
S 164029448 297 101654 2
S 164040447 297 101651 2
S 164051447 297 101653 2
S 164067446 297 101658 2
S 164078445 297 101660 2
S 164089444 297 101656 2
S 164100444 297 101660 2
S 164111443 297 101659 2
S 164122442 297 101662 2
S 164133442 297 101659 2
S 164144441 297 101660 2
S 164155440 297 101659 2
S 164166440 297 101662 2
S 164177439 297 101658 2
S 164188438 297 101653 2
S 164199437 297 101659 2
S 164210437 297 101657 2
S 164221436 297 101659 2
S 164232435 297 101657 2
S 164243435 297 101657 2
S 164254434 297 101659 2
S 164265433 297 101657 2
S 164276433 297 101656 2
S 164287432 297 101654 2
S 164298431 297 101660 2
S 164309431 297 101659 2
S 164320430 297 101657 2
S 164331429 297 101660 2
S 164342429 297 101661 2
S 164353428 297 101659 2
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 46698 296 101642 0
S 51697 296 101651 0
S 56697 296 101645 0
S 61697 296 101651 0
S 66696 296 101651 0
S 71696 296 101648 0
S 76696 296 101657 0
S 81695 296 101651 0
S 86695 296 101648 0
S 91695 296 101648 0
S 96695 296 101657 0
S 101694 296 101642 0
S 106694 296 101651 0
S 111694 296 101651 0
S 116693 296 101642 0
S 121693 296 101645 0
S 126693 296 101645 0
S 131692 296 101651 0
S 136692 296 101645 0
S 141692 296 101657 0
S 146691 296 101645 0
S 151691 296 101645 0
S 156691 296 101639 0
S 161690 296 101648 0
S 166690 296 101651 0
S 171690 296 101648 0
S 176690 296 101651 0
S 181689 296 101651 0
S 186689 296 101651 0
S 191689 296 101660 0
S 196688 296 101663 0
S 201688 296 101657 0
S 206688 296 101660 0
S 211687 296 101657 0
S 216687 296 101651 0
S 221687 296 101657 0
S 226686 296 101645 0
S 231686 296 101657 0
S 236686 296 101657 0
S 241685 296 101648 0
S 246685 296 101651 0
S 251685 296 101651 0
S 256685 296 101654 0
S 261684 296 101657 0
S 266684 296 101660 0
S 271684 296 101651 0
S 276683 296 101648 0
S 281683 296 101657 0
S 286683 296 101651 0
S 291682 296 101657 0
S 296682 296 101651 0
S 301682 296 101651 0
S 306681 296 101648 0
S 311681 296 101657 0
S 316681 296 101657 0
S 321680 296 101660 0
S 326680 296 101660 0
S 331680 296 101651 0
S 336680 296 101651 0
S 341679 296 101651 0
S 346679 296 101660 0
S 351679 296 101660 0
S 356678 296 101651 0
S 361678 296 101654 0
S 366678 296 101657 0
S 371677 296 101657 0
S 376677 296 101645 0
S 381677 296 101645 0
S 386676 296 101657 0
S 391676 296 101648 0
S 396676 296 101660 0
S 401675 296 101648 0
S 406675 296 101651 0
S 411675 296 101651 0
S 416675 296 101660 0
S 421674 296 101660 0
S 426674 296 101651 0
S 431674 296 101654 0
S 436673 296 101648 0
S 441673 296 101651 0
S 446673 296 101645 0
S 451672 296 101648 0
S 456672 296 101657 0
S 461672 296 101651 0
S 466671 296 101645 0
S 471671 296 101642 0
S 476671 296 101648 0
S 481670 296 101651 0
S 486670 296 101651 0
S 491670 296 101642 0
S 496670 296 101651 0
S 501669 296 101651 0
S 506669 296 101651 0
S 511669 296 101651 0
S 516668 296 101651 0
S 521668 296 101651 0
S 526668 296 101651 0
S 531667 296 101651 0
S 536667 296 101657 0
S 541667 296 101657 0
S 546666 296 101651 0
S 551666 296 101657 0
S 556666 296 101660 0
S 561665 296 101666 0
S 566665 296 101645 0
S 571665 296 101657 0
S 576665 296 101663 0
S 581664 296 101657 0
S 586664 296 101657 0
S 591664 296 101651 0
S 596663 296 101651 0
S 601663 296 101657 0
S 606663 296 101660 0
S 611662 296 101651 0
S 616662 296 101657 0
S 621662 296 101648 0
S 626661 296 101657 0
S 631661 296 101645 0
S 636661 296 101657 0
S 641660 296 101657 0
S 646660 296 101660 0
S 651660 296 101660 0
S 656660 296 101657 0
S 661659 296 101660 0
S 666659 296 101663 0
S 671659 296 101645 0
S 676658 296 101651 0
S 681658 296 101651 0
S 686658 296 101651 0
S 691657 296 101666 0
S 696657 296 101654 0
S 701657 296 101657 0
S 706656 296 101669 0
S 711656 296 101657 0
S 716656 296 101660 0
S 721655 296 101663 0
S 726655 296 101663 0
S 731655 296 101663 0
S 736655 296 101657 0
S 741654 296 101666 0
S 746654 296 101666 0
S 751654 296 101660 0
S 756653 296 101660 0
S 761653 296 101657 0
S 766653 296 101666 0
S 771652 296 101657 0
S 776652 296 101651 0
S 781652 296 101651 0
S 786651 296 101657 0
S 791651 296 101651 0
S 796651 296 101654 0
S 801650 296 101651 0
S 806650 296 101663 0
S 811650 296 101660 0
S 816650 296 101651 0
S 821649 296 101657 0
S 826649 296 101651 0
S 831649 296 101654 0
S 836648 296 101660 0
S 841648 296 101660 0
S 846648 296 101660 0
S 851647 296 101660 0
S 856647 296 101660 0
S 861647 296 101657 0
S 866646 296 101660 0
S 871646 296 101663 0
S 876646 296 101663 0
S 881645 296 101663 0
S 886645 296 101657 0
S 891645 296 101663 0
S 896645 296 101660 0
S 901644 296 101669 0
S 906644 296 101666 0
S 911644 296 101666 0
S 916643 296 101651 0
S 921643 296 101669 0
S 926643 296 101657 0
S 931642 296 101666 0
S 936642 296 101663 0
S 941642 296 101660 0
S 946641 296 101660 0
S 951641 296 101660 0
S 956641 296 101657 0
S 961640 296 101660 0
S 966640 296 101660 0
S 971640 296 101663 0
S 976640 296 101660 0
S 981639 296 101651 0
S 986639 296 101651 0
S 991639 296 101648 0
S 996638 296 101657 0
S 1001639 296 101663 0
S 1006638 296 101660 0
S 1011637 296 101651 0
S 1016637 296 101666 0
S 1021637 296 101660 0
S 1026643 296 101651 0
S 1036636 296 101657 0
S 1041635 296 101657 0
S 1046635 296 101663 0
S 1051635 296 101654 0
S 1056635 296 101648 0
S 1061634 296 101648 0
S 1066634 296 101645 0
S 1071634 296 101648 0
S 1076640 296 101654 0
S 1081633 296 101660 0
S 1086633 296 101657 0
S 1091632 296 101648 0
S 1096632 296 101654 0
S 1101632 296 101654 0
S 1106631 296 101651 0
S 1111638 296 101657 0
S 1116631 296 101657 0
S 1121630 296 101663 0
S 1126630 296 101657 0
S 1131630 296 101660 0
S 1136630 296 101663 0
S 1141629 296 101654 0
S 1146636 296 101657 0
S 1151629 296 101654 0
S 1156628 296 101657 0
S 1161628 296 101660 0
S 1166628 296 101654 0
S 1171627 296 101648 0
S 1176627 296 101648 0
S 1181634 296 101657 0
S 1186626 296 101654 0
S 1191626 296 101654 0
S 1196626 296 101657 0
S 1201625 296 101648 0
S 1206625 296 101657 0
S 1211625 296 101639 0
S 1216632 296 101648 0
S 1221624 296 101648 0
S 1226624 296 101657 0
S 1231624 296 101657 0
S 1236623 296 101648 0
S 1241623 296 101642 0
S 1246623 296 101657 0
S 1251622 296 101657 0
S 1256622 296 101654 0
S 1261622 296 101657 0
S 1266628 296 101657 0
S 1271621 296 101654 0
S 1276621 296 101654 0
S 1281620 296 101648 0
S 1286620 296 101654 0
S 1291620 296 101648 0
S 1296620 296 101642 0
S 1301626 296 101642 0
S 1306619 296 101642 0
S 1311619 296 101648 0
S 1316618 296 101657 0
S 1321618 296 101654 0
S 1326618 296 101648 0
S 1331617 296 101657 0
S 1336624 296 101648 0
S 1341617 296 101648 0
S 1346616 296 101663 0
S 1351616 296 101657 0
S 1356616 296 101666 0
S 1361615 296 101660 0
S 1366615 296 101663 0
S 1371622 296 101654 0
S 1376615 296 101654 0
S 1381614 296 101654 0
S 1386614 296 101654 0
S 1391614 296 101666 0
S 1396613 296 101663 0
S 1401613 296 101663 0
S 1406613 296 101657 0
S 1411612 296 101657 0
S 1416612 296 101657 0
S 1421612 296 101648 0
S 1426611 296 101648 0
S 1431611 296 101654 0
S 1436611 296 101660 0
S 1441610 296 101657 0
S 1446610 296 101648 0
S 1451610 296 101657 0
S 1456617 296 101648 0
S 1461609 296 101663 0
S 1466609 296 101657 0
S 1471609 296 101660 0
S 1476608 296 101648 0
S 1481608 296 101660 0
S 1486608 296 101648 0
S 1491614 296 101654 0
S 1496607 296 101657 0
S 1501607 296 101663 0
S 1506606 296 101660 0
S 1511606 296 101663 0
S 1516606 296 101663 0
S 1521605 296 101660 0
S 1526612 296 101657 0
S 1531605 296 101666 0
S 1536605 296 101663 0
S 1541604 296 101660 0
S 1546604 296 101663 0
S 1551604 296 101666 0
S 1556603 296 101663 0
S 1561610 296 101660 0
S 1566603 296 101648 0
S 1571602 296 101648 0
S 1576602 296 101657 0
S 1581602 296 101666 0
S 1586601 296 101666 0
S 1591601 296 101660 0
S 1596601 296 101654 0
S 1601600 296 101657 0
S 1606600 296 101654 0
S 1611600 296 101657 0
S 1616600 296 101660 0
S 1621599 296 101660 0
S 1626599 296 101660 0
S 1631599 296 101648 0
S 1636598 296 101663 0
S 1641598 296 101666 0
S 1646605 296 101654 0
S 1651597 296 101663 0
S 1656597 296 101657 0
S 1661597 296 101657 0
S 1666596 296 101663 0
S 1671596 296 101648 0
S 1676596 296 101663 0
S 1681603 296 101663 0
S 1686595 296 101666 0
S 1691595 296 101663 0
S 1696595 296 101660 0
S 1701594 296 101666 0
S 1706594 296 101657 0
S 1711594 296 101663 0
S 1716600 296 101660 0
S 1721593 296 101666 0
S 1726593 296 101669 0
S 1731592 296 101666 0
S 1736592 296 101663 0
S 1741592 296 101660 0
S 1746591 296 101663 0
S 1751591 296 101663 0
S 1756591 296 101666 0
S 1761590 296 101666 0
S 1766590 296 101657 0
S 1771590 296 101657 0
S 1776590 296 101660 0
S 1781589 296 101663 0
S 1786589 296 101663 0
S 1791589 296 101663 0
S 1796588 296 101666 0
S 1801595 296 101657 0
S 1806588 296 101660 0
S 1811587 296 101648 0
S 1816587 296 101657 0
S 1821587 296 101651 0
S 1826586 296 101645 0
S 1831586 296 101654 0
S 1836593 296 101657 0
S 1841585 296 101657 0
S 1846585 296 101660 0
S 1851585 296 101660 0
S 1856585 296 101663 0
S 1861584 296 101657 0
S 1866584 296 101660 0
S 1871584 296 101657 0
S 1876583 296 101654 0
S 1881583 296 101666 0
S 1886583 296 101648 0
S 1891582 296 101648 0
S 1896582 296 101657 0
S 1901582 296 101660 0
S 1906581 296 101663 0
S 1911581 296 101654 0
S 1916581 296 101654 0
S 1921580 296 101642 0
S 1926580 296 101654 0
S 1931580 296 101648 0
S 1936580 296 101657 0
S 1941579 296 101660 0
S 1946579 296 101657 0
S 1951579 296 101660 0
S 1956578 296 101657 0
S 1961578 296 101657 0
S 1966578 296 101642 0
S 1971577 296 101654 0
S 1976577 296 101654 0
S 1981577 296 101663 0
S 1986576 296 101660 0
S 1991583 296 101654 0
S 1996576 296 101654 0
S 2001576 296 101654 0
S 2006575 296 101660 0
S 2011575 296 101660 0
S 2016575 296 101666 0
S 2021574 296 101654 0
S 2026581 296 101660 0
S 2031574 296 101657 0
S 2041573 296 101645 0
S 2046573 296 101654 0
S 2051572 296 101648 0
S 2056572 296 101654 0
S 2061572 296 101657 0
S 2066571 296 101657 0
S 2071571 296 101642 0
S 2076571 296 101642 0
S 2081570 296 101651 0
S 2086570 296 101648 0
S 2091570 296 101651 0
S 2096570 296 101645 0
S 2101569 296 101648 0
S 2106569 296 101660 0
S 2111569 296 101651 0
S 2116568 296 101651 0
S 2121568 296 101654 0
S 2126568 296 101660 0
S 2131567 296 101654 0
S 2136567 296 101657 0
S 2141567 296 101651 0
S 2146566 296 101651 0
S 2151566 296 101660 0
S 2156566 296 101654 0
S 2161565 296 101654 0
S 2166565 296 101651 0
S 2171565 296 101642 0
S 2176565 296 101654 0
S 2181571 296 101654 0
S 2186564 296 101654 0
S 2191564 296 101648 0
S 2196563 296 101654 0
S 2201563 296 101651 0
S 2206563 296 101654 0
S 2211562 296 101657 0
S 2216562 296 101654 0
S 2221562 296 101654 0
S 2226561 296 101654 0
S 2231561 296 101651 0
S 2236561 296 101651 0
S 2241560 296 101651 0
S 2246560 296 101657 0
S 2251560 296 101657 0
S 2256560 296 101657 0
S 2261559 296 101657 0
S 2266559 296 101657 0
S 2271559 296 101660 0
S 2276558 296 101663 0
S 2281558 296 101660 0
S 2286558 296 101654 0
S 2291557 296 101654 0
S 2296557 296 101654 0
S 2301557 296 101651 0
S 2306556 296 101654 0
S 2311556 296 101663 0
S 2316556 296 101657 0
S 2321555 296 101660 0
S 2326555 296 101654 0
S 2331555 296 101654 0
S 2336562 296 101654 0
S 2341554 296 101660 0
S 2346554 296 101657 0
S 2351554 296 101657 0
S 2356553 296 101657 0
S 2361553 296 101651 0
S 2366553 296 101657 0
S 2371559 296 101654 0
S 2376552 296 101660 0
S 2381552 296 101657 0
S 2386551 296 101654 0
S 2391551 296 101657 0
S 2396551 296 101654 0
S 2401550 296 101654 0
S 2406550 296 101654 0
S 2411550 296 101660 0
S 2416550 296 101657 0
S 2421549 296 101654 0
S 2426549 296 101660 0
S 2431549 296 101660 0
S 2436548 296 101660 0
S 2441548 296 101660 0
S 2446548 296 101651 0
S 2451547 296 101648 0
S 2456547 296 101657 0
S 2461547 296 101651 0
S 2466546 296 101651 0
S 2471546 296 101660 0
S 2476546 296 101657 0
S 2481545 296 101654 0
S 2486545 296 101657 0
S 2491545 296 101657 0
S 2496545 296 101657 0
S 2501544 296 101651 0
S 2506544 296 101654 0
S 2511544 296 101651 0
S 2516543 296 101657 0
S 2521543 296 101654 0
S 2526550 296 101660 0
S 2531542 296 101654 0
S 2536542 296 101642 0
S 2541542 296 101657 0
S 2546541 296 101642 0
S 2551541 296 101648 0
S 2579539 296 101658 1
S 2586539 296 101652 1
S 2593538 296 101657 1
S 2600538 296 101658 1
S 2607538 296 101651 1
S 2614537 296 101651 1
S 2621537 296 101652 1
S 2628536 296 101661 1
S 2635536 296 101655 1
S 2642535 296 101658 1
S 2649535 296 101657 1
S 2656535 296 101651 1
S 2663534 296 101657 1
S 2670534 296 101657 1
S 2677533 296 101657 1
S 2684533 296 101660 1
S 2691532 296 101661 1
S 2698532 296 101660 1
S 2705531 296 101655 1
S 2712531 296 101655 1
S 2719531 296 101648 1
S 2726530 296 101651 1
S 2733530 296 101657 1
S 2740529 296 101657 1
S 2747529 296 101655 1
S 2754528 296 101647 1
S 2761528 296 101655 1
S 2768528 296 101648 1
S 2775527 296 101657 1
S 2782527 296 101652 1
S 2789526 296 101652 1
S 2796526 296 101652 1
S 2803525 296 101654 1
S 2810525 296 101649 1
S 2817524 296 101655 1
S 2824524 296 101654 1
S 2831524 296 101652 1
S 2838523 296 101657 1
S 2845523 296 101654 1
S 2852522 296 101654 1
S 2859522 296 101648 1
S 2866521 296 101651 1
